brand_group,count,avg_actual_price_eur,avg_spec_only_pred_price_eur,avg_adjusted_brand_premium_eur,median_adjusted_brand_premium_eur,premium_ratio_vs_pred
Asus,156,266.61352564102566,251.11955363949505,15.49397200153058,1.0567661684113716,0.06169958403069474
Oppo,118,326.2677254237288,313.0186940052381,13.249031418490679,17.05247263476023,0.04232664589121622
vivo,124,315.2275903225806,303.06299739289557,12.164592929685055,9.064952099029085,0.040138826033963786
Other,1902,167.7862695583596,165.29159176899907,2.4946777893605527,-7.9015670735814005,0.015092587364316477
Huawei,297,260.35495117845113,258.2011268187551,2.153824359696092,-0.9978476306362722,0.008341653602495603
Samsung,992,189.29356804435486,188.42702759972647,0.8665404446283718,-0.18062373769833684,0.004598811835365542
Lenovo,192,185.775228125,185.89886210405575,-0.12363397905576723,-3.541347033210961,-0.0006650604401578524
alcatel,179,131.36718994413408,132.58451464526078,-1.217324701126707,-4.425443014607026,-0.009181499848483399
OnePlus,16,538.8125,540.2726390490482,-1.4601390490481378,-7.476734669424502,-0.0027025966956575427
Nokia,393,134.98592875318067,136.6726817169297,-1.6867529637490482,-0.479724123113364,-0.012341551673381041
ZTE,179,217.3868715083799,219.1235904049193,-1.7367188965394178,-2.770180656362271,-0.007925750455850639
HTC,241,208.13278008298755,209.8912430052327,-1.7584629222451402,-4.100753454729144,-0.008377971834686313
Motorola,339,158.15178230088495,161.68191782657868,-3.5301355256937343,-2.267485034228315,-0.021833830110057118
Sony Ericsson,156,110.64102564102564,114.18195749467827,-3.5409318536526153,-3.854675365495737,-0.031011308015258445
Apple,77,565.3376623376623,570.0172415811782,-4.679579243515827,-14.679685344319978,-0.008209539821172921
LG,499,146.09230741482966,151.419091391837,-5.3267839770073255,-6.264990642183875,-0.035179077671407114
Sony,122,263.76311475409835,271.5860443493186,-7.8229295952203,-7.9428357427348715,-0.02880460818214324
Honor,88,240.74557045454546,248.63938194580652,-7.893811491261053,-6.967128999905313,-0.031748033756702265
Google,11,514.2290909090909,533.6536402188818,-19.424549309790972,-45.703196594619044,-0.036399169509691444
Realme,27,208.67378148148148,231.74277204258658,-23.068990561105103,-20.97540147399488,-0.09954567453290752
Xiaomi,143,269.6514895104895,293.754629202562,-24.103139692072485,-27.809408177047146,-0.08205194844930215
