target_mode,model,fold,MAE,RMSE,sMAPE,MASE,R2
price_eur,Linear Regression,1,67.77173138868334,191.4763544962097,35.76089907078079,0.6065558217244041,0.34385122339557317
price_eur,Linear Regression,2,57.850066206843536,89.17787951262764,34.860398603825274,0.5592061581532393,0.7115608568073726
price_eur,Linear Regression,3,62.35224819667908,112.8640016101072,37.6752387273323,0.5979957259883304,0.6266674975894473
price_eur,Linear Regression,4,56.64931129956627,90.31779535016715,35.240981007004045,0.551700000001931,0.6959439878540277
price_eur,Linear Regression,5,61.63254072066545,128.79206364155465,35.921518656149566,0.5975297323158911,0.5133297323723772
price_eur,Ridge,1,67.70244444464272,191.42752447743322,35.74296592300718,0.6059357047756974,0.3441858409184536
price_eur,Ridge,2,57.81162286971435,89.07343472136859,34.879386559944614,0.5588345466362232,0.7122360987969362
price_eur,Ridge,3,62.278641240548225,112.87869541811467,37.621847444540556,0.5972897908145028,0.6265702826559651
price_eur,Ridge,4,56.626216447775796,90.33285463200039,35.222514535117575,0.5514750823561458,0.6958425848714938
price_eur,Ridge,5,61.624944338119626,128.73494475101003,35.90125384208467,0.597456085109787,0.5137613102318059
price_eur,Random Forest,1,55.24834439216205,185.99884629921698,24.728460666264876,0.4944717250841329,0.3808547812969002
price_eur,Random Forest,2,44.91346612045107,74.92775660152472,24.87321936315372,0.43415485038100027,0.796377683753165
price_eur,Random Forest,3,51.695153511591116,100.95258207160659,26.33118821082802,0.4957877502144115,0.7013106238561236
price_eur,Random Forest,4,44.615815005611175,73.87612293524211,23.960626638956565,0.4345074030735886,0.7965699387105595
price_eur,Random Forest,5,48.56992979841711,115.37677971970558,24.58856826436445,0.4708872425458634,0.6094348965632819
price_eur,LightGBM,1,54.90996625723091,183.6609769954296,25.794818092296673,0.4914432466391953,0.3963213687986784
price_eur,LightGBM,2,47.2537840609783,78.36630413687716,26.4773170124447,0.4567774727942572,0.7772597798051718
price_eur,LightGBM,3,51.79656003996418,98.79965812397187,27.392786313039725,0.49676030007922356,0.7139145328912776
price_eur,LightGBM,4,44.874738899213995,72.47062211482735,25.287780066858762,0.437029027941114,0.8042368618646302
price_eur,LightGBM,5,51.030010791571044,121.5866662408845,26.16628669920047,0.49473781758506186,0.5662609617616914
log_price_eur,Linear Regression,1,63.128143956062715,193.98380305162738,28.908047333165605,0.5649957946566488,0.3265537150540585
log_price_eur,Linear Regression,2,51.76173889361522,87.26828297340022,28.08230322545715,0.5003535007641094,0.7237814911686324
log_price_eur,Linear Regression,3,56.02563121560016,118.58016058953262,28.943727248470392,0.537319647353336,0.5878939585496947
log_price_eur,Linear Regression,4,50.387533131439085,93.63187710854464,26.887985883924763,0.49071738721958796,0.6732208043120878
log_price_eur,Linear Regression,5,55.77710108159972,131.16131277546103,28.856655998773302,0.5407610312496757,0.4952595388461919
log_price_eur,Ridge,1,63.16337450414697,194.0578970163105,28.912390768175445,0.5653111074516031,0.326039158332986
log_price_eur,Ridge,2,51.62917988473452,86.932746865972,28.07166274367796,0.499072122557562,0.7259014620418567
log_price_eur,Ridge,3,56.0717417881544,118.62031245029122,28.96817148950044,0.5377618755986325,0.5876148287908494
log_price_eur,Ridge,4,50.39543339914979,93.6849168559292,26.900713385930874,0.4907943268609714,0.6728504775463687
log_price_eur,Ridge,5,55.76394989158315,130.91199478958376,28.850320908768612,0.5406335299823525,0.49717658694809574
log_price_eur,Random Forest,1,53.35143416228614,187.0187869082072,23.72922178345599,0.4774944113923664,0.37404589207548244
log_price_eur,Random Forest,2,42.421824580766085,76.24452988882062,22.739717916468035,0.4100694623380488,0.7891579180582995
log_price_eur,Random Forest,3,49.61070879876223,105.10807788414648,24.898399494368814,0.475796666245814,0.6762147196229765
log_price_eur,Random Forest,4,42.912144305765715,76.39544843125358,22.70685258124664,0.41791558397560025,0.7824586054370763
log_price_eur,Random Forest,5,44.94673940403464,121.96662449468108,22.70267179462063,0.4357602793999331,0.563545857599624
log_price_eur,LightGBM,1,52.13638122922619,184.73515206896295,23.326182923265634,0.4666197086933309,0.3892392672277434
log_price_eur,LightGBM,2,41.02866452747276,70.78729684276423,22.141530338246305,0.39660251697087895,0.8182599804389449
log_price_eur,LightGBM,3,46.33167311720286,96.75581077094414,23.709824625744968,0.4443487332578873,0.7256284820785
log_price_eur,LightGBM,4,40.50965677737727,69.9916737513668,21.775941955472323,0.3945180820641041,0.8174004522195013
log_price_eur,LightGBM,5,44.749678440063946,120.99160838367037,22.31089593182792,0.43384976616010107,0.5704961011381597
